domain,page,document,size [KB]
https://innoseed-enac.epfl.ch,https://innoseed-enac.epfl.ch/pitch2017_gallery,https://documents.epfl.ch/users/g/gi/gilis/www/Pitch%20your%20impact%202017%20Contest/Pitch%20you%20impact%202017%20_%20contest_008f.jpg,7.463
https://innoseed-enac.epfl.ch,https://innoseed-enac.epfl.ch/pitch2017_gallery,https://documents.epfl.ch/users/g/gi/gilis/www/Pitch%20your%20impact%202017%20Contest/Pitch%20you%20impact%202017%20_%20contest_008e.jpg,7.463
https://innoseed-enac.epfl.ch,https://innoseed-enac.epfl.ch/pitch2017_gallery,https://documents.epfl.ch/users/g/gi/gilis/www/Pitch%20your%20impact%202017%20Contest/Pitch%20you%20impact%202017%20_%20contest_008c.jpg,7.463
https://innoseed-enac.epfl.ch,https://innoseed-enac.epfl.ch/pitch2017_gallery,https://documents.epfl.ch/users/g/gi/gilis/www/Pitch%20your%20impact%202017%20Contest/Pitch%20you%20impact%202017%20_%20contest_008b.jpg,7.463
https://innoseed-enac.epfl.ch,https://innoseed-enac.epfl.ch/pitch2017_gallery,https://documents.epfl.ch/users/g/gi/gilis/www/Pitch%20your%20impact%202017%20Contest/Pitch%20you%20impact%202017%20_%20contest_004f.jpg,7.463
https://innoseed-enac.epfl.ch,https://innoseed-enac.epfl.ch/pitch2017_gallery,https://documents.epfl.ch/users/g/gi/gilis/www/Pitch%20your%20impact%202017%20Contest/Pitch%20you%20impact%202017%20_%20contest_004e.jpg,7.463
https://innoseed-enac.epfl.ch,https://innoseed-enac.epfl.ch/pitch2017_gallery,https://documents.epfl.ch/users/g/gi/gilis/www/Pitch%20your%20impact%202017%20Contest/Pitch%20you%20impact%202017%20_%20contest_004d.jpg,7.463
https://innoseed-enac.epfl.ch,https://innoseed-enac.epfl.ch/pitch2017_gallery,https://documents.epfl.ch/users/g/gi/gilis/www/Pitch%20your%20impact%202017%20Contest/Pitch%20you%20impact%202017%20_%20contest_004c.jpg,7.463
https://innoseed-enac.epfl.ch,https://innoseed-enac.epfl.ch/pitch2017_gallery,https://documents.epfl.ch/users/g/gi/gilis/www/Pitch%20your%20impact%202017%20Contest/Pitch%20you%20impact%202017%20_%20contest_004a.jpg,7.463
https://innoseed-enac.epfl.ch,https://innoseed-enac.epfl.ch/pitch2017_gallery,https://documents.epfl.ch/users/g/gi/gilis/www/Pitch%20your%20impact%202017%20Contest/Pitch%20you%20impact%202017%20_%20contest_016.jpg,7.463
https://innoseed-enac.epfl.ch,https://innoseed-enac.epfl.ch/pitch2017_gallery,https://documents.epfl.ch/users/g/gi/gilis/www/Pitch%20your%20impact%202017%20Contest/Pitch%20you%20impact%202017%20_%20contest_015.jpg,7.463
https://innoseed-enac.epfl.ch,https://innoseed-enac.epfl.ch/pitch2017_gallery,https://documents.epfl.ch/users/g/gi/gilis/www/Pitch%20your%20impact%202017%20Contest/Pitch%20you%20impact%202017%20_%20contest_014.jpg,7.463
https://innoseed-enac.epfl.ch,https://innoseed-enac.epfl.ch/pitch2017_gallery,https://documents.epfl.ch/users/g/gi/gilis/www/Pitch%20your%20impact%202017%20Contest/Pitch%20you%20impact%202017%20_%20contest_013.jpg,7.463
