domain,page,document,size [KB]
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-fr.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/LCMS-SPE-online.jpg,7.022
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-fr.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/TOC.jpg,7.023000000000001
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-fr.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/ICP-MS.jpg,7.0200000000000005
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-fr.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Microplate%20reader.jpg,7.0200000000000005
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-fr.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/GC-MS.jpg,7.018
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-fr.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/IC.jpg,7.019
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-fr.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/GC-MSMS.jpg,7.021
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-fr.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Laser%20diffraction%20particle%20size%20analyser.jpg,7.021
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-fr.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/GC-ECD.jpg,7.021
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-fr.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/LCMS.jpg,7.022
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-fr.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/SPE.jpg,7.022
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-fr.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/UHPLC-DAD.jpg,7.0200000000000005
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-fr.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/ICP.jpg,7.022
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-fr.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Freezedryer.jpg,7.021
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-fr.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Surface%20and%20pore%20size%20analyser.jpg,7.022
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-fr.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Auto%20analyser.jpg,7.0200000000000005
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/cms/page-10581.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/LCMS-SPE-online.jpg,7.022
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/cms/page-10581.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/TOC.jpg,7.023000000000001
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/cms/page-10581.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/ICP-MS.jpg,7.022
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/cms/page-10581.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Microplate%20reader.jpg,7.023000000000001
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/cms/page-10581.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/GC-MS.jpg,7.021
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/cms/page-10581.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/IC.jpg,7.022
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/cms/page-10581.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/GC-MSMS.jpg,7.0200000000000005
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/cms/page-10581.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Laser%20diffraction%20particle%20size%20analyser.jpg,7.022
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/cms/page-10581.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/GC-ECD.jpg,7.0200000000000005
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/cms/page-10581.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/LCMS.jpg,7.022
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/cms/page-10581.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/SPE.jpg,7.022
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/cms/page-10581.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/UHPLC-DAD.jpg,7.0200000000000005
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/cms/page-10581.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/ICP.jpg,7.021
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/cms/page-10581.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Freezedryer.jpg,7.0200000000000005
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/cms/page-10581.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Surface%20and%20pore%20size%20analyser.jpg,7.021
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/cms/page-10581.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/Auto%20analyser.jpg,7.021
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-en.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/LCMS-SPE-online.jpg,6.734
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-en.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/TOC.jpg,6.7330000000000005
http://gr-cel.epfl.ch,http://gr-cel.epfl.ch/page-10581-en.html,https://documents.epfl.ch/users/d/dg/dgrandje/www/Equipments/ICP-MS.jpg,6.734
