domain,page,document,size [KB]
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2016.02.35.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2013.43.33.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2011.00.15.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.59.57.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.54.59.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.54.40.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.54.16.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.54.00.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.53.50.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.53.42.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.53.37.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.53.11.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.52.51.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.52.41.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.52.29.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.53.19.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.52.11.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.51.59-1.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.51.51.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.51.34.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.51.20.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.51.09.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2010.29.56.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2009.59.53.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2009.57.45.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2009.56.19.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2009.55.44.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2009.50.14.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2009.45.12.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2009.44.54%20HDR.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2009.44.27.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2009.05.39.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2009.05.10.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2009.04.47%20HDR.jpg,21.385
http://sfi.epfl.ch,http://sfi.epfl.ch/SwissquoteConference2017,https://documents.epfl.ch/users/c/ca/cadena/www/Swissquote%20Conference%202017/2017-11-03%2009.04.24.jpg,21.385
http://smlms.epfl.ch,http://smlms.epfl.ch/page-137027-en.html,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160830_096.JPG,8.006
http://smlms.epfl.ch,http://smlms.epfl.ch/page-137027-en.html,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160830_095.JPG,8.007
http://smlms.epfl.ch,http://smlms.epfl.ch/page-137027-en.html,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160830_094.JPG,8.002
http://smlms.epfl.ch,http://smlms.epfl.ch/page-137027-en.html,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160830_093.JPG,8.007
http://smlms.epfl.ch,http://smlms.epfl.ch/page-137027-en.html,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160830_092.JPG,8.006
http://smlms.epfl.ch,http://smlms.epfl.ch/page-137027-en.html,https://documents.epfl.ch/users/r/ra/radenovi/public/Photos_SMLMS2016/SMLMS20160830_090.JPG,8.004
