domain,page,document,size [KB]
http://adec.epfl.ch,http://adec.epfl.ch/page-104103-fr.html,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/DSC_0212.JPG,5.713
http://adec.epfl.ch,http://adec.epfl.ch/page-104103-fr.html,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/DSC_0216.JPG,5.713
http://adec.epfl.ch,http://adec.epfl.ch/page-104103-fr.html,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/DSC_0221.JPG,5.713
http://adec.epfl.ch,http://adec.epfl.ch/page-104103-fr.html,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/DSC_0231.JPG,5.713
http://adec.epfl.ch,http://adec.epfl.ch/page-104103-fr.html,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/DSC_0236.JPG,5.713
http://adec.epfl.ch,http://adec.epfl.ch/page-104103-fr.html,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/IMG_1220.jpg,5.713
http://adec.epfl.ch,http://adec.epfl.ch/page-104103-fr.html,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/IMG_5952.JPG,5.713
http://adec.epfl.ch,http://adec.epfl.ch/page-104103-fr.html,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/IMG_5954.JPG,5.713
http://adec.epfl.ch,http://adec.epfl.ch/page-104103-fr.html,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/IMG_5958.JPG,5.713
http://adec.epfl.ch,http://adec.epfl.ch/page-104103-fr.html,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/IMG_5960.JPG,5.713
http://adec.epfl.ch,http://adec.epfl.ch/page-104103-fr.html,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Journ%C3%A9e%20d%27accueil%20AdEC/IMG_5961.JPG,5.713
http://adec.epfl.ch,http://adec.epfl.ch/page-104104-fr.html,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Week-end%20de%20ski%20AdEC%202013/IMG_5342.JPG,5.75
http://adec.epfl.ch,http://adec.epfl.ch/page-104104-fr.html,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Week-end%20de%20ski%20AdEC%202013/IMG_5347.JPG,5.75
http://adec.epfl.ch,http://adec.epfl.ch/page-104104-fr.html,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Week-end%20de%20ski%20AdEC%202013/IMG_5348.JPG,5.75
http://adec.epfl.ch,http://adec.epfl.ch/page-104104-fr.html,https://documents.epfl.ch/groups/a/ad/adec-unit/www/Week-end%20de%20ski%20AdEC%202013/IMG_5350.JPG,5.75
